Time [s],crank,cam,Channel 2
8.893763500,0,1,1
8.901026000,1,1,1
8.914064000,0,1,1
8.922469000,1,1,1
8.936510000,1,1,0
8.945307000,0,1,0
8.950147000,0,0,0
8.956806500,1,0,0
8.962277000,1,0,1
8.982841500,0,0,1
8.989360000,0,1,1
8.994560500,1,1,1
9.017202000,0,1,1
9.025809500,1,1,1
9.037932000,0,1,1
9.045204000,1,1,1
9.056501500,0,1,1
9.063877500,1,1,1
9.077383500,0,1,1
9.085986000,1,1,1
9.102905000,1,1,0
9.109267500,0,1,0
9.115694000,0,0,0
9.119921000,1,0,0
9.127351500,1,0,1
9.147432500,0,0,1
9.153701000,0,1,1
9.159185500,1,1,1
9.180648500,1,0,1
9.181562500,0,0,1
9.185765000,1,0,1
9.188863000,0,0,1
9.191044000,0,1,1
9.194990000,1,1,1
9.201426500,0,1,1
9.207910000,1,1,1
9.218988000,0,1,1
9.226050500,1,1,1
9.238370000,0,1,1
9.246529500,1,1,1
9.260340000,1,1,0
9.268661500,0,1,0
9.273844500,0,0,0
9.280420000,1,0,0
9.285949500,1,0,1
9.306345500,0,0,1
9.312790000,0,1,1
9.318233500,1,1,1
9.340905500,0,1,1
9.349359500,1,1,1
9.360550500,0,1,1
9.367604000,1,1,1
9.377711000,0,1,1
9.384693000,1,1,1
9.396232000,0,1,1
9.403986000,1,1,1
9.414933000,1,1,0
9.423110000,0,1,0
9.429798000,0,0,0
9.434136000,1,0,0
9.440724500,1,0,1
9.460450000,0,0,1
9.466936000,0,1,1
9.471836000,1,1,1
9.494075000,0,1,1
9.498332000,1,1,1
9.501501500,0,1,1
9.507746000,1,1,1
9.514385000,0,1,1
9.520962000,1,1,1
9.532518500,0,1,1
9.539730000,1,1,1
9.552654500,0,1,1
9.561045000,1,1,1
9.574993500,1,1,0
9.583501000,0,1,0
9.588357500,0,0,0
9.594846000,1,0,0
9.600235500,1,0,1
9.620483000,0,0,1
9.627012500,0,1,1
9.632104000,1,1,1
9.654534500,0,1,1
9.663089000,1,1,1
9.675069500,0,1,1
9.682327500,1,1,1
9.693423000,0,1,1
9.700734000,1,1,1
9.714067500,0,1,1
9.722592000,1,1,1
