Time[s], Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
1.754798250000000, 1, 0, 1, 1, 1, 1, 1, 1
1.756750750000000, 1, 1, 1, 1, 1, 1, 1, 1
1.758717500000000, 1, 0, 1, 1, 1, 1, 1, 1
1.760776000000000, 1, 1, 1, 1, 1, 1, 1, 1
1.762833000000000, 1, 0, 1, 1, 1, 1, 1, 1
1.764893500000000, 1, 1, 1, 1, 1, 1, 1, 1
1.766876000000000, 1, 0, 1, 1, 1, 1, 1, 1
1.768807500000000, 1, 1, 1, 1, 1, 1, 1, 1
1.770698250000000, 1, 0, 1, 1, 1, 1, 1, 1
1.772662500000000, 1, 1, 1, 1, 1, 1, 1, 1
1.774678500000000, 1, 0, 1, 1, 1, 1, 1, 1
1.776758000000000, 1, 1, 1, 1, 1, 1, 1, 1
1.778751500000000, 1, 0, 1, 1, 1, 1, 1, 1
1.780707750000000, 1, 1, 1, 1, 1, 1, 1, 1
1.782656750000000, 1, 0, 1, 1, 1, 1, 1, 1
1.784675750000000, 1, 1, 1, 1, 1, 1, 1, 1
1.786707750000000, 1, 0, 1, 1, 1, 1, 1, 1
1.788821250000000, 1, 1, 1, 1, 1, 1, 1, 1
1.790942000000000, 1, 0, 1, 1, 1, 1, 1, 1
1.793038500000000, 1, 1, 1, 1, 1, 1, 1, 1
1.795098000000000, 1, 0, 1, 1, 1, 1, 1, 1
1.797180000000000, 1, 1, 1, 1, 1, 1, 1, 1
1.799318000000000, 1, 0, 1, 1, 1, 1, 1, 1
1.801486750000000, 1, 1, 1, 1, 1, 1, 1, 1
1.803631500000000, 1, 0, 1, 1, 1, 1, 1, 1
1.805765000000000, 1, 1, 1, 1, 1, 1, 1, 1
1.807867250000000, 1, 0, 1, 1, 1, 1, 1, 1
1.809971750000000, 1, 1, 1, 1, 1, 1, 1, 1
1.812006750000000, 1, 0, 1, 1, 1, 1, 1, 1
1.814020000000000, 1, 1, 1, 1, 1, 1, 1, 1
1.815983250000000, 1, 0, 1, 1, 1, 1, 1, 1
1.817904500000000, 1, 1, 1, 1, 1, 1, 1, 1
1.819756000000000, 1, 0, 1, 1, 1, 1, 1, 1
1.821597750000000, 1, 1, 1, 1, 1, 1, 1, 1
1.823385750000000, 1, 0, 1, 1, 1, 1, 1, 1
1.825152500000000, 1, 1, 1, 1, 1, 1, 1, 1
1.826883250000000, 1, 0, 1, 1, 1, 1, 1, 1
1.828624750000000, 1, 1, 1, 1, 1, 1, 1, 1
